#Data tag : 19v3 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
319678:6925,07/15/18 15:20:13,259,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.099052349,0.095424824
319687:6927,07/15/18 22:28:04,45,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.016486816,0.016052913
319697:6929,07/16/18 02:17:40,437,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.062852753,0.060561287
319698:6929,07/16/18 05:13:10,312,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.037203705,0.036295265
319756:6931,07/16/18 15:39:04,1923,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.507084360,0.490204543
319840:6939,07/17/18 22:27:53,348,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.051262088,0.049718970
319841:6939,07/18/18 00:44:33,167,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.020840269,0.020280330
319847:6940,07/18/18 04:02:30,3,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.001330127,0.000903537
319848:6940,07/18/18 04:04:45,53,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.019928545,0.019081513
319849:6940,07/18/18 04:28:02,492,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.180217181,0.173552091
319851:6940,07/18/18 07:46:30,4,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.001250205,0.001137038
319853:6940,07/18/18 08:01:32,256,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.073307576,0.071203488
319854:6940,07/18/18 09:44:34,225,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.055235129,0.053716327
319908:6942,07/19/18 02:40:13,51,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.019578670,0.018295828
319909:6942,07/19/18 03:03:13,7,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.002745400,0.001120242
319910:6942,07/19/18 03:09:20,983,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.315473757,0.304865167
319912:6942,07/19/18 09:34:18,59,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.014171175,0.013437223
319913:6942,07/19/18 09:59:24,56,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.013018604,0.012566235
319914:6942,07/19/18 10:22:49,32,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.007252517,0.006879860
319915:6942,07/19/18 10:37:23,416,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.088940054,0.086802323
319941:6944,07/19/18 19:59:35,256,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.099020301,0.094417188
319942:6944,07/19/18 21:41:30,50,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.017942823,0.017468906
319950:6946,07/20/18 02:45:30,168,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.067839945,0.065935971
319991:6953,07/20/18 15:48:51,837,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.292529663,0.282111415
319992:6953,07/20/18 21:15:39,264,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.068314275,0.065586502
319993:6953,07/20/18 23:01:06,955,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.187746874,0.182675815
